elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
1.013995, 1.013995, 116901, 2, 8.6, 6, 12, 19, 81, 4279, 0
2.697346, 1.683351, 40803, 3, 10.6, 6, 14, 21, 2140, 12729, 0
3.344497, 0.647151, 40729, 3, 10.3, 6, 13, 21, 2116, 12729, 0
4.124063, 0.779566, 40252, 0, 10.1, 6, 12, 21, 2067, 2630, 0
5.088542, 0.964479, 50692, 3, 10.8, 6, 14, 21, 2032, 13696, 0
6.133741, 1.045199, 53740, 3, 17.2, 7, 14, 21, 2116, 453513, 0
7.253512, 1.119771, 55585, 3, 11.8, 7, 14, 21, 2116, 26346, 0
8.145853, 0.892341, 45616, 0, 10.0, 6, 12, 21, 1672, 25188, 0
9.021818, 0.875965, 34335, 3, 10.3, 7, 13, 20, 1970, 7528, 0
10.186322, 1.164504, 38359, 3, 13.7, 8, 15, 25, 2750, 13788, 0
11.04868, 0.862358, 39490, 3, 12.1, 7, 15, 23, 2423, 11056, 0
12.005368, 0.956688, 50351, 0, 12.0, 7, 14, 22, 2094, 19734, 0
13.066063, 1.060695, 43831, 0, 11.9, 7, 15, 23, 2357, 4648, 0
14.010526, 0.944463, 44530, 0, 11.8, 7, 15, 23, 2289, 6718, 0
15.00641, 0.995884, 45333, 3, 19.5, 7, 15, 22, 2274, 526706, 0
16.05722, 1.05081, 40897, 3, 19.7, 7, 13, 21, 2250, 526706, 0
17.006905, 0.949685, 53330, 3, 10.1, 6, 12, 18, 2081, 13077, 0
18.066352, 1.059447, 48471, 0, 11.6, 7, 16, 24, 1819, 13077, 0
19.130712, 1.06436, 47854, 0, 12.0, 7, 16, 24, 2240, 14795, 0
20.185614, 1.054902, 49808, 0, 11.1, 7, 14, 22, 1691, 12613, 0
21.05179, 0.866176, 30488, 0, 12.3, 8, 15, 22, 2312, 3645, 0
22.003826, 0.952036, 43556, 3, 12.2, 8, 15, 23, 2363, 10824, 0
23.008297, 1.004471, 48109, 3, 11.0, 7, 15, 22, 2247, 4075, 0
24.005761, 0.997464, 50834, 0, 11.3, 7, 15, 22, 2257, 11299, 0
25.072982, 1.067221, 50324, 0, 11.9, 7, 15, 23, 2194, 24466, 0
26.184848, 1.111866, 51396, 0, 11.8, 7, 15, 23, 2326, 24466, 0
27.007189, 0.822341, 35981, 0, 11.3, 7, 15, 23, 2339, 2834, 0
28.005869, 0.99868, 59722, 3, 17.9, 7, 14, 22, 2349, 398333, 0
29.327364, 1.321495, 57022, 0, 11.3, 7, 13, 22, 2196, 16553, 0
30.16779, 0.840426, 36963, 0, 11.6, 7, 15, 23, 2254, 11241, 0
31.197429, 1.029639, 46269, 0, 11.4, 7, 16, 23, 2096, 11023, 0
32.274127, 1.076698, 52461, 0, 11.6, 7, 16, 23, 2287, 25692, 0
33.150387, 0.87626, 40266, 0, 19.3, 7, 16, 23, 2369, 506530, 0
34.005384, 0.854997, 36685, 3, 19.7, 7, 16, 23, 2322, 506530, 0
35.005481, 1.000097, 45227, 0, 12.3, 7, 15, 23, 2332, 8972, 0
36.006976, 1.001495, 50111, 3, 17.6, 7, 15, 23, 2317, 387849, 0
37.026064, 1.019088, 44769, 3, 11.3, 7, 16, 23, 1659, 11334, 0
38.007808, 0.981744, 44849, 3, 27.2, 7, 16, 24, 2315, 538640, 0
39.007127, 0.999319, 50090, 0, 19.9, 7, 16, 23, 2291, 538640, 0
40.090034, 1.082907, 49491, 3, 11.7, 7, 15, 23, 2146, 22337, 0
