elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
1.013995, 1.013995, 142523, 0, 12.8, 9, 16, 21, 2321, 7647, 0
2.697346, 1.683351, 31896, 4, 13.8, 9, 17, 22, 2199, 7218, 0
3.344497, 0.647151, 41223, 0, 14.1, 9, 15, 23, 2277, 11678, 0
4.124063, 0.779566, 50047, 0, 14.2, 9, 17, 22, 2213, 11678, 0
5.088542, 0.964479, 54172, 0, 14.2, 9, 18, 23, 2173, 4894, 0
6.133741, 1.045199, 54583, 0, 14.8, 9, 18, 22, 2221, 11515, 0
7.253512, 1.119771, 45496, 0, 25.5, 9, 17, 23, 2242, 614397, 0
8.145853, 0.892341, 38905, 4, 15.8, 9, 15, 23, 2349, 25205, 0
9.021818, 0.875965, 44327, 4, 16.7, 10, 16, 25, 2533, 25280, 0
10.186322, 1.164504, 35726, 0, 18.0, 11, 18, 27, 2778, 25280, 0
11.04868, 0.862358, 39271, 5, 16.6, 10, 18, 26, 2558, 15703, 0
12.005368, 0.956688, 52925, 0, 16.9, 10, 19, 25, 2514, 15703, 0
13.066063, 1.060695, 45037, 0, 18.2, 10, 20, 26, 2609, 30623, 0
14.010526, 0.944463, 42756, 2, 22.9, 10, 19, 25, 2371, 373805, 0
15.00641, 0.995884, 47239, 5, 20.5, 10, 18, 24, 2356, 373805, 0
16.05722, 1.05081, 38997, 0, 15.6, 9, 15, 23, 2534, 12185, 0
17.006905, 0.949685, 55641, 0, 14.9, 9, 16, 23, 2376, 21546, 0
18.066352, 1.059447, 50206, 0, 16.7, 10, 20, 26, 2504, 21546, 0
19.130712, 1.06436, 48831, 0, 21.5, 10, 20, 26, 2445, 420596, 0
20.185614, 1.054902, 34934, 0, 17.3, 10, 18, 24, 2566, 13841, 0
21.05179, 0.866176, 38030, 0, 18.2, 11, 18, 25, 2649, 36299, 0
22.003826, 0.952036, 45452, 0, 17.6, 11, 19, 25, 2534, 36299, 0
23.008297, 1.004471, 50856, 0, 21.7, 10, 19, 24, 2394, 496898, 0
24.005761, 0.997464, 52409, 5, 21.3, 10, 19, 24, 2384, 496898, 0
25.072982, 1.067221, 52008, 5, 21.1, 10, 19, 25, 2403, 456156, 0
26.184848, 1.111866, 37730, 2, 31.5, 10, 20, 26, 2432, 647955, 0
27.007189, 0.822341, 46449, 2, 25.0, 10, 20, 26, 2424, 647955, 0
28.005869, 0.99868, 66060, 2, 21.1, 10, 18, 25, 2372, 573993, 0
29.327364, 1.321495, 40516, 5, 16.1, 10, 19, 25, 2379, 7540, 0
30.16779, 0.840426, 45878, 0, 16.2, 10, 19, 25, 2381, 10435, 0
31.197429, 1.029639, 49966, 0, 16.4, 10, 20, 26, 2393, 20777, 0
32.274127, 1.076698, 39970, 0, 28.8, 11, 20, 26, 2490, 625914, 0
33.150387, 0.87626, 39119, 5, 16.5, 10, 20, 26, 2473, 5938, 0
34.005384, 0.854997, 45936, 0, 16.8, 10, 20, 26, 2454, 24517, 0
35.005481, 1.000097, 44537, 0, 17.5, 10, 19, 25, 2434, 24517, 0
36.006976, 1.001495, 50826, 0, 17.7, 10, 19, 25, 2444, 24726, 0
37.026064, 1.019088, 43973, 0, 17.6, 10, 20, 26, 2470, 25242, 0
38.007808, 0.981744, 43788, 0, 17.2, 10, 20, 26, 2492, 25242, 0
39.007127, 0.999319, 54275, 0, 21.8, 10, 20, 25, 2448, 468421, 0
40.090034, 1.082907, 50028, 0, 22.2, 10, 19, 25, 2434, 468421, 0
41.183854, 1.09382, 36658, 5, 15.8, 10, 19, 25, 2488, 9698, 0
42.005434, 0.82158, 45368, 0, 20.9, 10, 20, 25, 2496, 398774, 0
43.007646, 1.002212, 52205, 0, 20.0, 10, 19, 25, 2490, 398774, 0
44.111637, 1.103991, 44699, 4, 15.6, 10, 18, 25, 2434, 10597, 0
45.058632, 0.946995, 45979, 4, 16.5, 10, 19, 25, 2426, 10941, 0
46.054675, 0.996043, 44037, 0, 16.6, 10, 20, 26, 2465, 11325, 0
47.01947, 0.964795, 41329, 0, 16.7, 11, 20, 26, 2486, 11325, 0
48.005797, 0.986327, 43094, 5, 16.3, 10, 20, 26, 2482, 16573, 0
49.006418, 1.000621, 48019, 0, 16.6, 10, 20, 25, 2436, 17029, 0
50.006586, 1.000168, 49234, 5, 16.4, 10, 19, 25, 2444, 8753, 0
51.007263, 1.000677, 44330, 5, 17.0, 10, 20, 26, 2494, 25300, 0
52.006163, 0.9989, 45213, 5, 21.8, 11, 20, 26, 2515, 394080, 0
53.004617, 0.998454, 45047, 5, 21.9, 11, 20, 26, 2519, 394080, 0
54.0073, 1.002683, 48280, 5, 24.4, 10, 20, 25, 2507, 552303, 0
55.0065, 0.9992, 46461, 0, 23.8, 10, 19, 25, 2456, 552303, 0
56.006584, 1.000084, 42216, 5, 16.1, 10, 19, 24, 2441, 7848, 0
57.006017, 0.999433, 40798, 5, 17.0, 10, 20, 25, 2477, 25086, 0
58.006333, 1.000316, 51124, 5, 16.5, 10, 20, 25, 2483, 25086, 0
59.00741, 1.001077, 44360, 0, 16.2, 10, 20, 25, 2492, 10799, 0
60.006222, 0.998812, 48037, 0, 15.9, 10, 19, 25, 2450, 5369, 0
61.004567, 0.998345, 49810, 0, 16.1, 10, 19, 24, 2434, 9412, 0
62.018309, 1.013742, 48011, 0, 16.4, 10, 19, 25, 2471, 17136, 0
63.048676, 1.030367, 42822, 0, 15.8, 10, 20, 25, 2471, 11359, 0
64.005281, 0.956605, 46727, 0, 15.6, 10, 20, 25, 2414, 11196, 0
65.006499, 1.001218, 47233, 0, 15.6, 10, 19, 25, 2397, 20797, 0
66.007456, 1.000957, 44105, 0, 16.7, 10, 20, 25, 2447, 25235, 0
67.004531, 0.997075, 47431, 0, 19.3, 11, 20, 26, 2515, 25407, 0
68.008204, 1.003673, 45327, 0, 24.3, 11, 20, 26, 2502, 409976, 0
69.004866, 0.996662, 47736, 0, 21.7, 10, 20, 25, 2439, 409976, 0
70.004163, 0.999297, 43315, 0, 15.2, 10, 19, 24, 2390, 3330, 0
71.002429, 0.998266, 44844, 0, 16.1, 10, 20, 25, 2445, 11325, 0
72.005526, 1.003097, 47685, 0, 17.2, 10, 20, 25, 2501, 23152, 0
73.001763, 0.996237, 45438, 0, 23.7, 10, 20, 25, 2484, 513938, 0
74.004164, 1.002401, 48338, 0, 22.5, 10, 19, 24, 2433, 513938, 0
75.004319, 1.000155, 41311, 0, 15.9, 10, 19, 24, 2409, 10966, 0
76.004956, 1.000637, 53313, 0, 22.8, 10, 19, 25, 2444, 494900, 0
77.014189, 1.009233, 47413, 0, 22.5, 10, 20, 26, 2468, 494900, 0
78.050518, 1.036329, 47383, 0, 23.2, 10, 20, 26, 2442, 600731, 0
79.051465, 1.000947, 45254, 0, 23.7, 10, 20, 25, 2431, 600731, 0
80.035285, 0.98382, 45199, 0, 23.5, 10, 20, 26, 2411, 589659, 0
81.027511, 0.992226, 41486, 2, 24.5, 10, 20, 26, 2484, 589659, 0
82.003933, 0.976422, 43787, 2, 22.2, 10, 20, 25, 2489, 372511, 0
83.003889, 0.999956, 50439, 0, 20.6, 10, 19, 24, 2401, 372511, 0
84.00163, 0.997741, 47161, 0, 15.8, 10, 19, 24, 2383, 20366, 0
85.014317, 1.012687, 43375, 3, 15.6, 10, 19, 24, 2433, 9579, 0
86.004484, 0.990167, 50267, 3, 22.6, 10, 20, 25, 2480, 527275, 0
87.062795, 1.058311, 48526, 5, 28.0, 10, 20, 25, 2464, 527275, 0
88.105422, 1.042627, 47538, 5, 28.4, 10, 20, 25, 2416, 581315, 0
89.118599, 1.013177, 52092, 4, 23.3, 10, 19, 25, 2416, 581315, 0
90.242047, 1.123448, 39240, 5, 16.4, 10, 20, 26, 2437, 19652, 0
91.11011, 0.868063, 48174, 0, 21.2, 10, 20, 26, 2475, 332250, 0
92.178287, 1.068177, 49764, 0, 26.2, 10, 20, 25, 2496, 431602, 0
93.234635, 1.056348, 39151, 0, 15.8, 10, 20, 25, 2395, 3012, 0
94.046699, 0.812064, 44324, 0, 16.2, 10, 20, 25, 2424, 6128, 0
95.022512, 0.975813, 45504, 5, 16.6, 10, 20, 25, 2467, 11322, 0
96.017868, 0.995356, 43531, 5, 16.3, 10, 20, 25, 2455, 7349, 0
