elapsed, window, total, successful, failed
1.008166, 1.008166, 271980, 271980, 0
2.770337, 1.762171, 96897, 96897, 0
3.586183, 0.815846, 109565, 109565, 0
4.694414, 1.108231, 59109, 59109, 0
5.192671, 0.498257, 87192, 87192, 0
6.005898, 0.813227, 106239, 106239, 0
7.044339, 1.038441, 133710, 133710, 0
8.260296, 1.215957, 113965, 113965, 0
9.288032, 1.027736, 62469, 62469, 0
10.279971, 0.991939, 86390, 86390, 0
11.036595, 0.756624, 56121, 56121, 0
12.007112, 0.970517, 80414, 80414, 0
13.009316, 1.002204, 99955, 99955, 0
14.007856, 0.99854, 94281, 94281, 0
15.007461, 0.999605, 73876, 73876, 0
16.005971, 0.99851, 103129, 103129, 0
17.007355, 1.001384, 103900, 103900, 0
18.048775, 1.04142, 75235, 75235, 0
19.00942, 0.960645, 89520, 89520, 0
20.008695, 0.999275, 82864, 82864, 0
21.009985, 1.00129, 97066, 97066, 0
22.012367, 1.002382, 88816, 88816, 0
23.008714, 0.996347, 93660, 93660, 0
24.008819, 1.000105, 104925, 104925, 0
25.080366, 1.071547, 114603, 114603, 0
26.109795, 1.029429, 64532, 64532, 0
27.011987, 0.902192, 51892, 51892, 0
28.010585, 0.998598, 82694, 82694, 0
29.010477, 0.999892, 85474, 85474, 0
30.011235, 1.000758, 97818, 97818, 0
31.009137, 0.997902, 120221, 120221, 0
32.098664, 1.089527, 93280, 93280, 0
33.008697, 0.910033, 74888, 74888, 0
34.010005, 1.001308, 72801, 72801, 0
35.008557, 0.998552, 107176, 107176, 0
36.008502, 0.999945, 93005, 93005, 0
37.007486, 0.998984, 76475, 76475, 0
38.011527, 1.004041, 83922, 83922, 0
39.007001, 0.995474, 72981, 72981, 0
40.006235, 0.999234, 121297, 121297, 0
41.009844, 1.003609, 128766, 128766, 0
42.222237, 1.212393, 112971, 112971, 0
43.124131, 0.901894, 96776, 96776, 0
44.259458, 1.135327, 100891, 100891, 0
45.104735, 0.845277, 67958, 67958, 0
46.00871, 0.903975, 102659, 102659, 0
47.010164, 1.001454, 118471, 118471, 0
48.169116, 1.158952, 99529, 99529, 0
49.011065, 0.841949, 61467, 61467, 0
50.00805, 0.996985, 97558, 97558, 0
51.012945, 1.004895, 70873, 70873, 0
52.007467, 0.994522, 83148, 83148, 0
53.012966, 1.005499, 85363, 85363, 0
54.01095, 0.997984, 88391, 88391, 0
55.008529, 0.997579, 114280, 114280, 0
56.075767, 1.067238, 73681, 73681, 0
57.109282, 1.033515, 75400, 75400, 0
58.011463, 0.902181, 111900, 111900, 0
59.124938, 1.113475, 116946, 116946, 0
60.267288, 1.14235, 106281, 106281, 0
61.190784, 0.923496, 94382, 94382, 0
62.060009, 0.869225, 107220, 107220, 0
63.193575, 1.133566, 103156, 103156, 0
64.033127, 0.839552, 83173, 83173, 0
65.060013, 1.026886, 114304, 114304, 0
66.126977, 1.066964, 97514, 97514, 0
67.244641, 1.117664, 101974, 101974, 0
68.093864, 0.849223, 94724, 94724, 0
69.154192, 1.060328, 92888, 92888, 0
70.027989, 0.873797, 61214, 61214, 0
71.009976, 0.981987, 71490, 71490, 0
72.009171, 0.999195, 51847, 51847, 0
73.012675, 1.003504, 83619, 83619, 0
74.010079, 0.997404, 71615, 71615, 0
75.009039, 0.99896, 100449, 100449, 0
76.008767, 0.999728, 122335, 122335, 0
77.124806, 1.116039, 128643, 128643, 0
78.393687, 1.268881, 139368, 139368, 0
79.56377, 1.170083, 138188, 138188, 0
80.880591, 1.316821, 108753, 108753, 0
81.90737, 1.026779, 103598, 103598, 0
83.069317, 1.161947, 88617, 88617, 0
84.110261, 1.040944, 93217, 93217, 0
85.043633, 0.933372, 76537, 76537, 0
86.009742, 0.966109, 63285, 63285, 0
87.012329, 1.002587, 91816, 91816, 0
88.006334, 0.994005, 91555, 91555, 0
89.005692, 0.999358, 97437, 97437, 0
90.010351, 1.004659, 115323, 115323, 0
91.20295, 1.192599, 75689, 75689, 0
92.010226, 0.807276, 60853, 60853, 0
93.010015, 0.999789, 84243, 84243, 0
94.008708, 0.998693, 82861, 82861, 0
95.011261, 1.002553, 59609, 59609, 0
96.012002, 1.000741, 84587, 84587, 0
97.009853, 0.997851, 94592, 94592, 0
98.010462, 1.000609, 89743, 89743, 0
99.011832, 1.00137, 72653, 72653, 0
100.007507, 0.995675, 78670, 78670, 0
101.010408, 1.002901, 104808, 104808, 0
102.010138, 0.99973, 96511, 96511, 0
103.009416, 0.999278, 104330, 104330, 0
104.008046, 0.99863, 97918, 97918, 0
105.007205, 0.999159, 120040, 120040, 0
106.150442, 1.143237, 112888, 112888, 0
107.072131, 0.921689, 95266, 95266, 0
108.257406, 1.185275, 81718, 81718, 0
109.014002, 0.756596, 62965, 62965, 0
110.011656, 0.997654, 113238, 113238, 0
111.02267, 1.011014, 106976, 106976, 0
112.049189, 1.026519, 128363, 128363, 0
113.273469, 1.22428, 126568, 126568, 0
114.360538, 1.087069, 115783, 115783, 0
115.523156, 1.162618, 105078, 105078, 0
116.639735, 1.116579, 75957, 75957, 0
117.292191, 0.652456, 75057, 75057, 0
118.09959, 0.807399, 98975, 98975, 0
119.15913, 1.05954, 109662, 109662, 0
120.088976, 0.929846, 74422, 74422, 0
121.015006, 0.92603, 91266, 91266, 0
122.01065, 0.995644, 72644, 72644, 0
123.012168, 1.001518, 94877, 94877, 0
124.012232, 1.000064, 116482, 116482, 0
125.10807, 1.095838, 126816, 126816, 0
126.354528, 1.246458, 135467, 135467, 0
127.506314, 1.151786, 113785, 113785, 0
128.61188, 1.105566, 113473, 113473, 0
129.841383, 1.229503, 78677, 78677, 0
130.618753, 0.77737, 93326, 93326, 0
131.693241, 1.074488, 78503, 78503, 0
132.501657, 0.808416, 104086, 104086, 0
133.620202, 1.118545, 99843, 99843, 0
134.78967, 1.169468, 71825, 71825, 0
135.568567, 0.778897, 96188, 96188, 0
136.552153, 0.983586, 86523, 86523, 0
137.46303, 0.910877, 122213, 122213, 0
138.623662, 1.160632, 129703, 129703, 0
139.919739, 1.296077, 110857, 110857, 0
140.916505, 0.996766, 126072, 126072, 0
142.084647, 1.168142, 137883, 137883, 0
143.431613, 1.346966, 141879, 141879, 0
144.630569, 1.198956, 70226, 70226, 0
145.262922, 0.632353, 87822, 87822, 0
146.192225, 0.929303, 83391, 83391, 0
147.080879, 0.888654, 69743, 69743, 0
148.01143, 0.930551, 89209, 89209, 0
149.007907, 0.996477, 120797, 120797, 0
150.067812, 1.059905, 93299, 93299, 0
151.008798, 0.940986, 68815, 68815, 0
152.007687, 0.998889, 123352, 123352, 0
153.009803, 1.002116, 124978, 124978, 0
154.216891, 1.207088, 113247, 113247, 0
155.11334, 0.896449, 105039, 105039, 0
156.040085, 0.926745, 123387, 123387, 0
157.318213, 1.278128, 114737, 114737, 0
158.217104, 0.898891, 85137, 85137, 0
159.096714, 0.87961, 102992, 102992, 0
160.217329, 1.120615, 109563, 109563, 0
161.162794, 0.945465, 93504, 93504, 0
162.078115, 0.915321, 115232, 115232, 0
163.33011, 1.251995, 91005, 91005, 0
164.115787, 0.785677, 78374, 78374, 0
165.085784, 0.969997, 106939, 106939, 0
166.050147, 0.964363, 125143, 125143, 0
167.279916, 1.229769, 124640, 124640, 0
168.297833, 1.017917, 109740, 109740, 0
169.346342, 1.048509, 117677, 117677, 0
170.420133, 1.073791, 87567, 87567, 0
171.232901, 0.812768, 104724, 104724, 0
172.202901, 0.97, 103498, 103498, 0
173.178248, 0.975347, 94437, 94437, 0
174.128185, 0.949937, 80557, 80557, 0
175.141202, 1.013017, 101443, 101443, 0
176.184699, 1.043497, 86253, 86253, 0
177.296182, 1.111483, 102680, 102680, 0
178.118467, 0.822285, 77466, 77466, 0
179.063537, 0.94507, 76025, 76025, 0
180.007123, 0.943586, 96521, 96521, 0
181.005952, 0.998829, 71372, 71372, 0
181.774402, 0.76845, 17827, 17827, 0
